gle read:2.00 | controller signal:1300.40 | 
17:37:50.078 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.113 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.148 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.217 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.252 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.322 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.355 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.424 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.458 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.528 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.563 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.598 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.667 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.701 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.770 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.804 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.874 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.909 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.979 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.014 -> angle read:24.00 | controller signal:1660.00 | 
17:37:51.049 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.118 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.153 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.223 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.257 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.326 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.360 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.395 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.464 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.499 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.568 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.603 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.673 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.708 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.778 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.813 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.847 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.917 -> angle read:25.00 | controller signal:1660.00 | 
17:37:51.952 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.022 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.057 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.092 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.162 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.196 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.266 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.300 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.370 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.404 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.473 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.508 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.543 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.612 -> angle read:25.00 | controller signal:1660.00 | 
17:37:52.647 -> angle read:26.00 | controller signal:1654.70 | 
17:37:52.717 -> angle read:25.00 | controller signal:1654.70 | 
17:37:52.752 -> angle read:25.00 | controller signal:1659.30 | 
17:37:52.821 -> angle read:25.00 | controller signal:1659.30 | 
17:37:52.856 -> angle read:25.00 | controller signal:1659.00 | 
17:37:52.891 -> angle read:25.00 | controller signal:1659.00 | 
17:37:52.960 -> angle read:25.00 | controller signal:1659.00 | 
17:37:52.995 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.065 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.100 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.170 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.205 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.240 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.308 -> angle read:26.00 | controller signal:1659.00 | 
17:37:53.343 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.412 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.446 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.516 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.551 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.621 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.655 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.689 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.757 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.792 -> angle read:26.00 | controller signal:1659.00 | 
17:37:53.860 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.895 -> angle read:25.00 | controller signal:1659.00 | 
17:37:53.965 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.000 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.069 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.104 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.174 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.209 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.244 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.314 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.349 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.419 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.453 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.488 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.558 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.593 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.663 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.698 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.768 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.803 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.837 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.907 -> angle read:25.00 | controller signal:1659.00 | 
17:37:54.941 -> angle read:25.00 | controller signal:1659.00 | 
17:37:55.011 -> angle read:25.00 | controller signal:1659.00 | 
17:37:55.046 -> angle read:25.00 | controller signal:1659.00 | 
17:37:55.116 -> angle read:24.00 | controller signal:1664.30 | 
17:37:55.151 -> angle read:24.00 | controller signal:1664.30 | 
17:37:55.220 -> angle read:24.00 | controller signal:1665.00 | 
17:37:55.255 -> angle read:24.00 | controller signal:1665.00 | 
17:37:55.290 -> angle read:24.00 | controller signal:1666.00 | 
17:37:55.359 -> angle read:25.00 | controller signal:1666.00 | 
17:37:55.394 -> angle read:24.00 | controller signal:1666.00 | 
